sender,receiver,amount
client_97,client_BANK,35.5252198536325
client_87,client_644,9396.73168532901
client_87,client_644,20842.16437006781
client_12,client_BANK,145.97234906777626
client_BANK,client_83,983.6071824999044
client_17,client_BANK,190.4641140629158
client_66,client_BANK,170.41398221762714
client_BANK,client_90,714.8753559226982
client_BANK,client_56,423.4487112716575
client_76,client_779,293.47220119664325
client_76,client_779,5912.875143687155
client_29,client_349,296.3952285528536
client_BANK,client_40,317.62140413770896
client_61,client_594,315.4675992162398
client_3,client_337,75.9435428827472
client_BANK,client_19,324.6223529398118
client_BANK,client_54,937.0123211930875
client_90,client_BANK,108.1055902095928
client_84,client_111,125.68929899088438
client_BANK,client_50,135.82169609987227
client_93,client_112,60.212377912135466
client_BANK,client_76,563.696201660257
client_BANK,client_79,994.4633303710436
client_23,client_825,310.37463724832145
client_699,client_33,4639.837972793412
client_699,client_33,48360.80664468505
client_BANK,client_54,720.6765446968172
client_43,client_246,320.25959089797607
client_55,client_947,3620.825894736632
client_55,client_947,29448.812509101124
client_89,client_BANK,108.61890334435452
client_842,client_BANK,99.00623113105438
client_58,client_945,8202.91521596486
client_58,client_945,21671.907327348214
client_77,client_861,342.8989034836917
client_BANK,client_15,803.7012982607125
client_BANK,client_29,13.45281118427987
client_BANK,client_65,460.9497238109895
client_BANK,client_55,393.12878461998145
client_BANK,client_41,995.1491518041212
client_19,client_783,467.64328865798734
client_12,client_344,455.015569920306
client_65,client_BANK,167.81093220919152
client_102,client_856,242.90950273882922
client_62,client_BANK,170.17410925143466
client_37,client_963,436.2188957049447
client_BANK,client_6,804.9151652684465
client_68,client_BANK,94.8510647266987
client_93,client_448,388.4998799777682
client_BANK,client_478,332.3594418382015
client_BANK,client_60,973.1422110054291
client_BANK,client_72,646.2186616461274
client_9,client_485,53.28882305961548
client_BANK,client_58,670.0141753555874
client_BANK,client_830,688.1374807693421
client_33,client_903,444.2390091022131
client_52,client_134,29.284935030602444
client_74,client_BANK,5.5530411462721645
client_BANK,client_88,130.058996732779
client_BANK,client_95,67.46505920065064
client_BANK,client_47,286.3099116109903
client_72,client_895,216.0498809706698
client_BANK,client_57,657.3959281889379
client_BANK,client_32,493.90796797942266
client_195,client_BANK,224.3595150162664
client_30,client_BANK,181.5410454246661
client_BANK,client_90,899.473816887845
client_75,client_776,320.1757654005964
client_28,client_359,420.1554658974036
client_13,client_BANK,46.73351967582625
client_BANK,client_88,356.0066520254794
client_BANK,client_34,842.9317866376502
client_66,client_BANK,13.952663321665678
client_BANK,client_16,227.86795895372904
client_BANK,client_2,816.55678319425
client_BANK,client_45,508.6787141342571
client_23,client_363,277.5707355496769
client_19,client_BANK,148.5464229056071
client_34,client_479,486.16469638236333
client_67,client_903,242.10184713698064
client_BANK,client_11,795.7881736694577
client_50,client_BANK,330.4619316331357
client_BANK,client_53,868.3724885537409
client_BANK,client_70,758.9812469074329
client_51,client_697,260.67089899713415
client_BANK,client_89,870.437519756957
client_75,client_795,325.30819042924884
client_24,client_761,118.6047363679341
client_20,client_BANK,160.37941731699914
client_8,client_889,69.76551066589695
client_51,client_BANK,170.83657642401272
client_BANK,client_25,487.8933250496517
client_BANK,client_63,197.6804261027362
client_87,client_BANK,421.2216780466455
client_64,client_513,339.2916106937664
client_371,client_BANK,37.271275696606246
client_BANK,client_482,474.76674900999143
client_BANK,client_64,427.7939439812254
client_91,client_190,139.78804466358454
client_21,client_993,33.42109846561216
client_BANK,client_69,450.43401194846604
client_14,client_301,302.0245463584977
client_BANK,client_87,56.801943825234915
client_39,client_105,140.39721297383576
client_BANK,client_24,498.46957277782855
client_BANK,client_47,329.3526484398351
client_91,client_BANK,400.30438493322015
client_19,client_BANK,71.4231351168099
client_2,client_BANK,181.15469089085366
client_23,client_943,7916.337774133357
client_23,client_943,14395.321884303772
client_43,client_295,119.66973424255723
client_68,client_812,30.46531065997191
client_BANK,client_15,889.5528035620646
client_598,client_915,323.53333903844674
client_61,client_268,20.56591361873474
client_23,client_BANK,115.59874546562061
client_BANK,client_458,570.8565454319606
client_48,client_BANK,122.01228779460467
client_BANK,client_20,737.8874492765901
client_80,client_191,178.34771815629608
client_55,client_BANK,38.53338283777937
client_BANK,client_46,877.4944619210754
client_14,client_BANK,68.34974272596035
client_15,client_12,319.1495177790306
client_90,client_399,94.54362099771568
client_BANK,client_50,237.46639526453941
client_BANK,client_99,147.6984819292711
client_85,client_BANK,174.59204330404071
client_27,client_312,2010.3392087084944
client_27,client_312,17593.07545721695
client_BANK,client_69,959.538425889375
client_80,client_BANK,365.7571770488965
client_BANK,client_51,494.96621735598546
client_430,client_52,464.2999809081719
client_90,client_998,36.43235902963628
client_80,client_BANK,48.00483489875294
client_51,client_BANK,38.51435260935865
client_72,client_BANK,79.52366443549522
client_89,client_BANK,380.23118824758456
client_68,client_BANK,169.17661727753315
client_31,client_180,4654.226852724762
client_31,client_180,11623.537980454706
client_33,client_481,270.0665034982171
client_BANK,client_10,118.06596569738561
client_BANK,client_96,303.75363327977243
client_69,client_849,105.27682563790059
client_98,client_BANK,86.85599991524211
client_62,client_742,298.3244596027628
client_BANK,client_49,487.1550195612713
client_BANK,client_49,329.8676805152324
client_BANK,client_425,717.5672476886468
client_24,client_864,71.00392063161172
client_257,client_248,185.72676649861145
client_BANK,client_28,61.53708350462333
client_BANK,client_58,832.1038402999181
client_83,client_65,11.71448521398723
client_BANK,client_86,933.2437916536844
client_BANK,client_715,90.3862736557675
client_BANK,client_25,755.779931454285
client_85,client_BANK,46.73365502729797
client_2,client_BANK,363.0337993712154
client_BANK,client_29,856.8138961235554
client_23,client_BANK,407.8118679866646
client_BANK,client_75,173.379858309689
client_50,client_BANK,135.8010114113666
client_66,client_595,272.74167657945463
client_75,client_BANK,21.61121166980866
client_89,client_BANK,495.1837587649853
client_BANK,client_86,282.0386941661865
client_BANK,client_855,464.6369324924361
client_BANK,client_284,344.82116395274204
client_BANK,client_51,785.2390560081029
client_60,client_680,324.2452607594633
client_28,client_BANK,140.12275726327186
client_BANK,client_581,383.35058469972034
client_BANK,client_28,133.8337394024544
client_94,client_611,186.54397455943734
client_72,client_BANK,45.580163760835084
client_97,client_621,120.22742963369433
client_BANK,client_964,326.0356953252292
client_82,client_977,8161.488817074341
client_82,client_977,5870.105971393314
client_BANK,client_780,39.0650524721251
client_BANK,client_75,403.7315794862311
client_BANK,client_68,594.4238767043184
client_BANK,client_49,306.4774438144552
client_BANK,client_45,490.44361563126716
client_32,client_BANK,285.64929195280524
client_BANK,client_29,407.6275424009298
client_21,client_BANK,133.93490158900224
client_20,client_BANK,71.57747187860805
client_BANK,client_313,956.5847617233676
client_57,client_933,364.1143062888906
client_670,client_265,624.8367589328626
client_670,client_265,35697.68419124415
client_BANK,client_59,474.6285239299183
client_BANK,client_674,214.06451179976818
client_462,client_218,186.8043517984874
client_292,client_BANK,15.162116294812446
client_67,client_BANK,166.0901989843599
client_BANK,client_91,870.4129865509796
client_BANK,client_25,458.70315671465534
client_14,client_BANK,130.33479460582004
client_BANK,client_82,834.9365589615054
client_4,client_938,457.18069514927674
client_91,client_BANK,51.715912923810905
client_BANK,client_136,323.18605694935854
client_27,client_713,378.1992962598012
client_BANK,client_63,935.5026342466009
client_BANK,client_196,816.2002740654412
client_78,client_402,22.4073229742666
client_BANK,client_56,7.8896687529828
client_23,client_454,7916.337774133357
client_23,client_454,14395.321884303772
client_BANK,client_9,841.3236623015769
client_BANK,client_23,385.6663861335405
client_BANK,client_2,706.9111128344792
client_9,client_256,76.61344481140341
client_87,client_459,44.756614905787394
client_18,client_315,2798.879065202226
client_18,client_315,21474.30144958079
client_BANK,client_47,23.386936124437412
client_40,client_619,338.51115843095783
client_72,client_36,190.82443719871296
client_BANK,client_55,738.3135419585172
client_9,client_BANK,80.76412688455123
client_BANK,client_38,551.2381072255394
client_96,client_702,254.65674722060498
client_95,client_BANK,249.8880949072318
client_BANK,client_48,192.3726708815928
client_9,client_BANK,85.458371253587
client_692,client_BANK,59.26289903623204
client_BANK,client_8,561.7442525453694
client_18,client_655,178.3877280464644
client_70,client_BANK,49.05087305311029
client_BANK,client_20,992.5798386406892
client_15,client_BANK,482.32309336921185
client_41,client_BANK,104.56153293622639
client_BANK,client_42,846.3617852107236
client_20,client_BANK,153.9027240856002
